ABS results:
538 ABS: 549.7755614488599
475 ABS: 476.2758443749445
507 ABS: 521.4932012006467
530 ABS: 528.6074673863585
509 ABS: 540.6542705328145
438 ABS: 439.63634159659813
566 ABS: 575.0772495254243
600 ABS: 562.1228281752731
462 ABS: 462.8127678507382
351 ABS: 357.62138029656137
353 ABS: 368.25737986095885
365 ABS: 354.9289563534862
365 ABS: 371.21694971299087
566 ABS: 555.2442910257472
560 ABS: 557.6745317488916
432 ABS: 408.6004349204057
364 ABS: 365.1861779482482
358 ABS: 379.9764515083759
403 ABS: 401.1846408341435
418 ABS: 425.5815356953766
492 ABS: 495.10247378202627
568 ABS: 554.7110877800553
401 ABS: 416.30496531315663
486 ABS: 498.15818479734315
558 ABS: 550.6943910752976
361 ABS: 360.8368378186421
577 ABS: 549.7755614488599
562 ABS: 561.4082663305305
528 ABS: 529.3877179611052
577 ABS: 571.6621806886772
577 ABS: 574.0928637479346
495 ABS: 498.8768045963658
507 ABS: 497.82660991314145
460 ABS: 452.14692455771024
511 ABS: 502.34166242730555
545 ABS: 545.0899506810076
495 ABS: 494.28954018909116
462 ABS: 477.0062655452778
455 ABS: 445.88051535025227
502 ABS: 510.4042533546814
445 ABS: 443.00295955191064
566 ABS: 581.8285406501772
627 ABS: 611.9464885363437
609 ABS: 604.1793108335057
562 ABS: 549.7364253330436
451 ABS: 473.8585511387721
456 ABS: 459.29704199500844
475 ABS: 459.32181877077886
443 ABS: 441.96811475133256
420 ABS: 438.88877085583647
512 ABS: 486.12833525699887
453 ABS: 436.78684963490383
468 ABS: 467.5504135563085
519 ABS: 518.6625696310945
449 ABS: 446.44934703836316
451 ABS: 448.2585242657374
503 ABS: 487.2987351624219
532 ABS: 527.9028587652239
546 ABS: 543.6477479168632
546 ABS: 540.4467779685949
490 ABS: 490.0972784632302
512 ABS: 516.2623908166652
533 ABS: 534.6101447984213
514 ABS: 518.3104487567792
546 ABS: 546.9051550461152
504 ABS: 493.72333073569683
437 ABS: 425.712439465272
435 ABS: 439.9654367296583
473 ABS: 479.16312473090045
424 ABS: 430.28000800492094
461 ABS: 476.75363141697744
489 ABS: 476.75363141697744
444 ABS: 434.9939827532181
403 ABS: 416.6394923724046
457 ABS: 467.75690440062436
451 ABS: 441.8672156521534
427 ABS: 433.0420411458535
468 ABS: 484.10245847028244
528 ABS: 531.4036259035389
486 ABS: 477.60708196018584
470 ABS: 456.80314488946027
412 ABS: 441.43517970188503
452 ABS: 447.8250703845926
474 ABS: 469.6598911095066
430 ABS: 438.4279174745751
508 ABS: 495.71619396835007
471 ABS: 490.0972784632302
