ABS results:
538 ABS: 550.7204128874812
475 ABS: 474.31096516181935
507 ABS: 521.8422301821431
530 ABS: 530.1548924199963
509 ABS: 539.5365525824059
438 ABS: 438.6474365797765
566 ABS: 573.4541089523242
600 ABS: 562.5594076611147
462 ABS: 462.71345806544866
351 ABS: 354.5178014832098
353 ABS: 370.1502621458373
365 ABS: 353.44264263995063
365 ABS: 371.0653561623377
566 ABS: 556.4225498913671
560 ABS: 559.5000560261736
432 ABS: 410.4123720653489
364 ABS: 370.0721729929553
358 ABS: 378.637776662687
403 ABS: 400.3221698986419
418 ABS: 426.61285445780527
492 ABS: 495.32177285599573
568 ABS: 553.6192228194665
401 ABS: 419.93307082298367
486 ABS: 494.0326560971615
558 ABS: 549.3428814724946
361 ABS: 358.1820314546578
577 ABS: 550.7204128874812
562 ABS: 560.4584214552398
528 ABS: 526.7969117622569
577 ABS: 571.6390014769697
577 ABS: 570.7550203712232
495 ABS: 500.73705745053235
507 ABS: 497.3285018075459
460 ABS: 451.8568597462895
511 ABS: 505.3960338343393
545 ABS: 544.8930354408618
495 ABS: 491.70320307467586
462 ABS: 475.6034652976521
455 ABS: 447.3130266898234
502 ABS: 510.9858342176625
445 ABS: 443.7092485994998
566 ABS: 582.2120612361413
627 ABS: 611.3295711563114
609 ABS: 606.914465887142
562 ABS: 550.8317922014643
451 ABS: 467.99896534423254
456 ABS: 462.1071866627906
475 ABS: 461.1195773193086
443 ABS: 442.59021767652
420 ABS: 440.5151853907706
512 ABS: 484.76015559516014
453 ABS: 440.64849949297235
468 ABS: 465.34716410113924
519 ABS: 518.3789417671304
449 ABS: 450.19589505028904
451 ABS: 448.6863703336521
503 ABS: 487.24157870575044
532 ABS: 525.6299464177632
546 ABS: 542.4992377774721
546 ABS: 540.8370397461929
490 ABS: 489.4453824424126
512 ABS: 512.9308425090444
533 ABS: 533.6328386589386
514 ABS: 520.9550808067976
546 ABS: 547.8362082843444
504 ABS: 492.0972332556273
437 ABS: 426.3227140307491
435 ABS: 438.88363411177056
473 ABS: 478.4776624397414
424 ABS: 433.81509711431005
461 ABS: 476.9758352898756
489 ABS: 476.9758352898756
444 ABS: 436.1307536614823
403 ABS: 414.66382304584175
457 ABS: 466.03451727662554
451 ABS: 439.08552768445725
427 ABS: 434.1673303177465
468 ABS: 485.6916822721945
528 ABS: 530.7665979837537
486 ABS: 478.8673052101582
470 ABS: 457.9962386880519
412 ABS: 439.93815238167053
452 ABS: 451.52503381447184
474 ABS: 468.0600324179306
430 ABS: 438.81483348823343
508 ABS: 496.1974246656386
471 ABS: 489.4453824424126
