ABS results:
538 ABS: 549.5406180751892
475 ABS: 474.9238901257448
507 ABS: 521.5640833661614
530 ABS: 531.3664435692183
509 ABS: 541.4846470776603
438 ABS: 438.77779583812526
566 ABS: 572.6131826930875
600 ABS: 561.3042938503705
462 ABS: 463.90475378447655
351 ABS: 358.4564413483266
353 ABS: 368.42671804878825
365 ABS: 355.67956743651126
365 ABS: 371.1391779853607
566 ABS: 555.3123773285889
560 ABS: 557.5187419208397
432 ABS: 409.2598496690477
364 ABS: 368.12740416415204
358 ABS: 379.61041606839785
403 ABS: 400.2217097275098
418 ABS: 424.68695282920686
492 ABS: 496.467479233543
568 ABS: 553.606190984879
401 ABS: 417.3822160082697
486 ABS: 497.37335225431616
558 ABS: 548.354021965406
361 ABS: 358.3110097085756
577 ABS: 549.5406180751892
562 ABS: 562.3812821710194
528 ABS: 528.4227861969016
577 ABS: 569.1029803915022
577 ABS: 574.4138005115083
495 ABS: 500.98842712455615
507 ABS: 498.3993466246206
460 ABS: 452.49228394741
511 ABS: 503.5734798351374
545 ABS: 545.7666520586544
495 ABS: 490.56770304985287
462 ABS: 477.2502513146159
455 ABS: 444.32772376058017
502 ABS: 513.956880733526
445 ABS: 441.7500715087558
566 ABS: 582.2855684131637
627 ABS: 610.4117536089898
609 ABS: 604.4225534523672
562 ABS: 549.3713557423372
451 ABS: 469.6030592226967
456 ABS: 462.6281357130341
475 ABS: 460.97935745840533
443 ABS: 442.381126267261
420 ABS: 440.56390207895237
512 ABS: 487.8458354086683
453 ABS: 438.3029051464842
468 ABS: 462.757036445042
519 ABS: 518.2071689253837
449 ABS: 449.4615396264631
451 ABS: 446.9599232171232
503 ABS: 488.0498222266571
532 ABS: 527.7094115287682
546 ABS: 543.7272664275541
546 ABS: 538.7342364609163
490 ABS: 489.18853260933537
512 ABS: 517.2664733782774
533 ABS: 533.8168609574252
514 ABS: 519.0188495042107
546 ABS: 547.2568118025089
504 ABS: 493.274559453561
437 ABS: 426.1785266927841
435 ABS: 442.124098844002
473 ABS: 479.26069609325856
424 ABS: 431.5580967498911
461 ABS: 475.96607351542525
489 ABS: 475.96607351542525
444 ABS: 435.42245207209623
403 ABS: 416.4390862291813
457 ABS: 466.2355794965345
451 ABS: 442.0567444955978
427 ABS: 434.4050851390616
468 ABS: 484.47648199416324
528 ABS: 530.2945312314321
486 ABS: 478.31702178762987
470 ABS: 456.89551853623226
412 ABS: 441.49089997479024
452 ABS: 448.5097169260268
474 ABS: 470.42767719270165
430 ABS: 437.3190698197767
508 ABS: 495.8963696434848
471 ABS: 489.18853260933537
